month,step,trial_day,sent,opened,clicked
2025-01,extension_offer,14,1247,386,73
2025-01,feature_spotlight,8,1247,386,73
2025-01,setup_help_1,2,1247,523,146
2025-01,setup_help_2,5,1247,523,146
2025-01,trial_ending,12,1247,386,73
2025-02,extension_offer,14,1339,415,78
2025-02,feature_spotlight,8,1339,415,78
2025-02,setup_help_1,2,1339,562,157
2025-02,setup_help_2,5,1339,562,157
2025-02,trial_ending,12,1339,415,78
2025-03,extension_offer,14,1477,457,86
2025-03,feature_spotlight,8,1477,457,86
2025-03,setup_help_1,2,1477,620,173
2025-03,setup_help_2,5,1477,620,173
2025-03,trial_ending,12,1477,457,86
2025-04,extension_offer,14,1538,476,90
2025-04,feature_spotlight,8,1538,476,90
2025-04,setup_help_1,2,1538,645,180
2025-04,setup_help_2,5,1538,645,180
2025-04,trial_ending,12,1538,476,90
2025-05,extension_offer,14,1605,497,94
2025-05,feature_spotlight,8,1605,497,94
2025-05,setup_help_1,2,1605,674,188
2025-05,setup_help_2,5,1605,674,188
2025-05,trial_ending,12,1605,497,94
2025-06,extension_offer,14,1717,532,101
2025-06,feature_spotlight,8,1717,532,101
2025-06,setup_help_1,2,1717,721,201
2025-06,setup_help_2,5,1717,721,201
2025-06,trial_ending,12,1717,532,101
2025-07,extension_offer,14,1696,525,99
2025-07,feature_spotlight,8,1696,525,99
2025-07,setup_help_1,2,1696,712,199
2025-07,setup_help_2,5,1696,712,199
2025-07,trial_ending,12,1696,525,99
2025-08,extension_offer,14,1788,554,105
2025-08,feature_spotlight,8,1788,554,105
2025-08,setup_help_1,2,1788,750,210
2025-08,setup_help_2,5,1788,750,210
2025-08,trial_ending,12,1788,554,105
2025-09,extension_offer,14,1818,563,106
2025-09,feature_spotlight,8,1818,563,106
2025-09,setup_help_1,2,1818,763,213
2025-09,setup_help_2,5,1818,763,213
2025-09,trial_ending,12,1818,563,106
2025-10,extension_offer,14,1949,604,114
2025-10,feature_spotlight,8,1949,604,114
2025-10,setup_help_1,2,1949,818,229
2025-10,setup_help_2,5,1949,818,229
2025-10,trial_ending,12,1949,604,114
2025-11,extension_offer,14,2042,633,120
2025-11,feature_spotlight,8,2042,633,120
2025-11,setup_help_1,2,2042,857,239
2025-11,setup_help_2,5,2042,857,239
2025-11,trial_ending,12,2042,633,120
2025-12,extension_offer,14,2087,646,122
2025-12,feature_spotlight,8,2087,646,122
2025-12,setup_help_1,2,2087,876,245
2025-12,setup_help_2,5,2087,876,245
2025-12,trial_ending,12,2087,646,122
2026-01,extension_offer,14,2253,698,132
2026-01,feature_spotlight,8,2253,698,132
2026-01,setup_help_1,2,2253,946,264
2026-01,setup_help_2,5,2253,946,264
2026-01,trial_ending,12,2253,698,132
2026-02,extension_offer,14,2284,708,134
2026-02,feature_spotlight,8,2284,708,134
2026-02,setup_help_1,2,2284,959,268
2026-02,setup_help_2,5,2284,959,268
2026-02,trial_ending,12,2284,708,134
2026-03,extension_offer,14,2419,749,142
2026-03,feature_spotlight,8,2419,749,142
2026-03,setup_help_1,2,2419,1015,284
2026-03,setup_help_2,5,2419,1015,284
2026-03,trial_ending,12,2419,749,142
2026-04,extension_offer,14,2537,786,149
2026-04,feature_spotlight,8,2537,786,149
2026-04,setup_help_1,2,2537,1065,298
2026-04,setup_help_2,5,2537,1065,298
2026-04,trial_ending,12,2537,786,149
2026-05,extension_offer,14,2589,802,152
2026-05,feature_spotlight,8,2589,802,152
2026-05,setup_help_1,2,2589,1087,304
2026-05,setup_help_2,5,2589,1087,304
2026-05,trial_ending,12,2589,802,152
2026-06,extension_offer,14,2615,810,153
2026-06,feature_spotlight,8,2615,810,153
2026-06,setup_help_1,2,2615,1098,307
2026-06,setup_help_2,5,2615,1098,307
2026-06,trial_ending,12,2615,810,153
